时间,EV1_优化功率,EV2_优化功率,EV3_优化功率,EV4_优化功率,EV5_优化功率,EV6_优化功率,EV7_优化功率,EV8_优化功率,EV9_优化功率,EV10_优化功率,EV11_优化功率,EV12_优化功率,EV13_优化功率,EV14_优化功率,EV15_优化功率,EV16_优化功率,EV17_优化功率,EV18_优化功率,EV19_优化功率,EV20_优化功率
2026-01-01 00:00:00,1.4399999999999853,1.4399999999999937,1.44,1.4399999954784624,1.44,1.4399999994971535,1.4399999999996353,1.4399999999999942,1.4399999975818227,1.4399999999993909,1.439999999999982,1.439999974581238,1.4399999998941495,1.4399999999999895,1.44,1.4399999999998643,1.439999997332843,1.4399999948274202,1.4399999999999915,1.4399999999999893
2026-01-01 00:15:00,1.4399999999999804,1.4399999999999937,1.4399999999999997,1.4399999999020472,1.44,1.4399999964722916,1.4399999999996353,1.4399999999999942,1.4399999975604842,1.4399999999993909,1.439999999999982,1.4399999999999897,1.4399999999991089,1.4399999999999895,1.44,1.4399999960173648,1.439999999999159,1.4399999999999904,1.4399999999999915,1.4399999999999893
2026-01-01 00:30:00,1.439999999999985,1.4399999999999973,1.4399999999999997,1.4399999972516129,1.4399999886854509,1.4399999999999888,1.4399999999998865,1.4399999999999986,1.4399999999999933,1.4399999999997395,1.4399999999999822,1.43999999999999,1.4399999999994906,1.4399999999999893,1.44,1.4399999999978894,1.4399999954644396,1.4399999999956263,1.4399999999999913,1.439999999999989
2026-01-01 00:45:00,1.4399999999999835,1.4399999999999973,1.44,1.4399999998807482,1.4399999987951542,1.4399999907409065,1.4399999972505264,1.4399999999999986,1.4399999714306666,1.4399999999997395,1.4399999999999822,1.4399999984677467,1.4399999999994906,1.4399999999999893,1.44,1.4399999966459849,1.4399999989058405,1.4399999971329693,1.4399999999999913,1.439999999999989
2026-01-01 01:00:00,1.4399999999308302,1.439999999930872,1.44,1.4399829245051117,1.439999999979048,1.4399999999794881,1.4399999999961153,1.439999999930884,1.4399999999790192,1.4399999999925466,1.4399999999308286,1.4399999999814976,1.4399999999912385,1.439999999999984,1.4399999999898043,1.439999999985799,1.439999999986482,1.4399999999799546,1.4399999999999857,1.4399999999999833
2026-01-01 01:15:00,1.439999999999984,1.4399999999999937,1.44,1.4399999968284667,1.439999988990793,1.4399999999999888,1.4399999999996353,1.4399999999999942,1.4399999999999935,1.439999999999393,1.439999999999982,1.43999999999999,1.439999999999119,1.4399999999999895,1.44,1.4399999999998643,1.439999999999169,1.4399999999999904,1.4399999999999915,1.4399999999999893
2026-01-01 01:30:00,1.4399999999999842,1.4399999999999973,1.44,1.43999999601698,1.4399999987951364,1.4399999898204308,1.4399999999998865,1.4399999999999986,1.4399999993790424,1.4399999999997395,1.4399999999999822,1.43999999830955,1.4399999999994908,1.4399999999999893,1.44,1.4399999999978894,1.4399999999996653,1.4399999995360118,1.4399999999999913,1.439999999999989
2026-01-01 01:45:00,1.4399999999999842,1.4399999999999973,1.4399999999999997,1.4399999994061916,1.4399999873637337,1.4399999999999888,1.4399999999998865,1.4399999999999986,1.4399999955960046,1.4399999999997395,1.4399999999999822,1.4399999999999895,1.4399999999994906,1.4399999999999895,1.44,1.4399999999978894,1.4399999981275817,1.4399999999956266,1.4399999999999913,1.439999999999989
2026-01-01 02:00:00,1.4399999999999842,1.4399999999999937,1.44,1.439999999844897,1.44,1.439999999999989,1.4399999999996353,1.4399999999999942,1.4399999999999935,1.4399999982866236,1.439999999999982,1.4399999894868325,1.4399999999991093,1.4399999999999897,1.44,1.4399999999998643,1.4399999999991588,1.4399999975601967,1.4399999999999915,1.4399999999999893
2026-01-01 02:15:00,1.4399999999999837,1.4399999999999937,1.44,1.4399999999020472,1.44,1.4399999973111834,1.4399999999996353,1.4399999999999942,1.43999999994978,1.4399999999993909,1.439999999999982,1.4399999999999897,1.4399999999991089,1.4399999999999895,1.44,1.4399999999998643,1.439999999999159,1.4399999857051557,1.4399999999999913,1.4399999999999893
2026-01-01 02:30:00,1.4399999999999837,1.4399999999999973,1.44,1.4399999919873083,1.4399999976835804,1.4399999999999888,1.4399999999998865,1.4399999999999986,1.4399999996423916,1.4399999990059063,1.4399999999999822,1.4399999983630307,1.4399999999994906,1.4399999999999893,1.44,1.4399999999978894,1.439999999999665,1.4399999952289595,1.4399999999999913,1.439999999999989
2026-01-01 02:45:00,1.4399999999999844,1.4399999999999973,1.44,1.4399999998807482,1.4399999982269678,1.4399999788874456,1.4399999999998865,1.4399999999999986,1.4399999964659895,1.4399999999997395,1.4399999999999822,1.439999999586924,1.4399999999994908,1.4399999999999895,1.4399999302420399,1.4399999999978894,1.4399999999996653,1.4399999999956263,1.4399999999999913,1.439999999999989
2026-01-01 03:00:00,1.4399999999999833,1.4399999999999937,1.4399999999999997,1.4399999980678138,1.4399999971510402,1.4399999551889016,1.4399999990311894,1.4399999999999942,1.439999999445167,1.439999999999393,1.439999999999982,1.4399999994745807,1.439999999999119,1.4399999999999895,1.44,1.4399999935452337,1.4399999999991688,1.4399999999999904,1.4399999999999915,1.4399999999999893
2026-01-01 03:15:00,1.4399999999999837,1.4399999999999937,1.4399999999999997,1.439999998342605,1.4399999987108034,1.439999999999989,1.4399999999996353,1.4399999999999942,1.4399999999999935,1.439999999999393,1.439999999999982,1.4399999999999897,1.4399999971868571,1.4399999999999895,1.44,1.4399999999998643,1.439999999999169,1.4399999992309345,1.4399999999999915,1.4399999999999893
2026-01-01 03:30:00,1.4399999999999837,1.4399999999999973,1.4399999999999997,1.4399999965950394,1.439999999996481,1.4399999999999888,1.4399999999998898,1.4399999999999988,1.439999999999993,1.439999995940916,1.4399999999999822,1.4399999995207051,1.439999999103407,1.439997721683433,1.44,1.4399999999978987,1.4399999978989266,1.4399999939402541,1.4399999999999913,1.439999999999989
2026-01-01 03:45:00,1.4399999999999837,1.4399999999999973,1.44,1.4399999965872914,1.4399999999964626,1.4399999999999888,1.4399999999998865,1.4399999999999986,1.4399999301642668,1.4399999999997395,1.4399999999999822,1.4399999999999895,1.4399999995847637,1.4399999999999895,1.44,1.4399999999978892,1.439999999999665,1.4399999966869268,1.4399999999999913,1.439999999999989
2026-01-01 04:00:00,1.4399999999999835,1.4399999999999937,1.44,1.4399999965099384,1.44,1.4399999110960306,1.4399999999996353,1.4399999999999942,1.4399999990353918,1.439999999696585,1.439999999999982,1.439999999060783,1.4399999991382484,1.4399999999999897,1.44,1.4399999999998643,1.439999999999159,1.4399999999999904,1.4399999999999915,1.4399999999999893
2026-01-01 04:15:00,1.4399999999999837,1.4399999999999937,1.44,1.4399999999020472,1.44,1.439999999999989,1.4399999999996353,1.4399999999999942,1.4399999183104164,1.4399999999993909,1.439999999999982,1.4399999999999897,1.4399999999991093,1.4399999999999895,1.44,1.4399999999998643,1.4399999999991588,1.4399999999999904,1.4399999999999913,1.4399999999999893
2026-01-01 04:30:00,1.4399999999999835,1.4399999999999973,1.4399999999999997,1.4399999950859106,1.439999997588511,1.4399999999999888,1.4399999999998865,1.4399999999999986,1.4399999898603628,1.4399999999997395,1.4399999999999822,1.4399999999999895,1.4399999983860738,1.4399999999999893,1.44,1.4399999999978894,1.4399999991427472,1.4399999999956266,1.4399999999999913,1.439999999999989
2026-01-01 04:45:00,1.4399999999999837,1.4399999999999973,1.44,1.4399999998807482,1.439999997577568,1.4399999845351459,1.4399999999998865,1.4399999999999986,1.4399999987901846,1.4399999999997395,1.4399999999999822,1.4399999994477004,1.4399999991810646,1.4399999999999895,1.44,1.4399999999978894,1.4399999999996655,1.4399999993072539,1.4399999999999913,1.439999999999989
2026-01-01 05:00:00,1.4399999999999842,1.4399999999999937,1.44,1.4399999952218572,1.4399999975746525,1.439999999999989,1.4399999999996353,1.4399999999999942,1.4399999998249333,1.4399999999993909,1.439999999999982,1.439999995228001,1.4399999991973207,1.4399999999999895,1.44,1.4399999999998643,1.4399999999991588,1.4399999993264019,1.4399999999999913,1.4399999999999893
2026-01-01 05:15:00,1.4399999999999935,1.44,0.0,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999922,1.4399999999999928,1.439999999999992,1.44,1.44,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 05:30:00,1.439999999999993,1.44,0.0,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999915,1.4399999999999922,1.439999999999993,1.439999999999992,1.44,1.44,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 05:45:00,1.439999999999993,1.44,0.0,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,1.44,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 06:00:00,1.4399999999999924,1.44,0.0,1.4399999999999928,1.44,1.4399999999999902,1.44,1.44,1.439999999999995,1.4399999999999908,1.4399999999999908,1.4399999999999913,1.439999999999992,1.4399999999999913,1.44,1.44,1.44,1.4399999999999917,1.439999999999993,1.4399999999999908
2026-01-01 06:15:00,1.4399999999999933,1.44,0.0,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,1.44,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 06:30:00,1.4399999999999955,1.44,0.0,1.439999999999996,1.4399999999999997,1.4399999999999933,1.44,1.44,1.4399999999999982,1.4399999999999937,1.4399999999999937,1.4399999999999944,1.4399999999999953,1.4399999999999942,1.44,1.44,0.0,1.4399999999999948,1.439999999999996,1.439999999999994
2026-01-01 06:45:00,1.44,1.44,0.0,1.44,1.44,1.4399999999999982,0.0,1.44,1.44,1.4399999999999982,1.4399999999999986,1.439999999999999,1.44,1.4399999999999986,0.0,1.4399999999999995,0.0,1.4399999999999997,1.44,1.4399999999999984
2026-01-01 07:00:00,1.44,1.44,0.0,1.44,1.44,1.4399999999999982,0.0,1.44,1.44,1.4399999999999986,1.4399999999999988,1.4399999999999993,1.44,1.4399999999999988,0.0,1.44,0.0,1.4399999999999997,1.44,1.4399999999999986
2026-01-01 07:15:00,1.44,0.0,0.0,1.44,1.44,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.4399999999999997,0.0,1.4399999999999964,0.0,1.44,1.44,1.4399999999999997
2026-01-01 07:30:00,1.44,0.0,0.0,1.44,1.44,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 07:45:00,1.44,1.44,0.0,1.44,1.44,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,1.44,1.44
2026-01-01 08:00:00,1.4399999999999986,1.44,0.0,1.439999999999999,1.44,1.4399999999999964,0.0,1.44,1.44,1.4399999999999964,1.4399999999999968,1.4399999999999973,1.439999999999998,1.4399999999999968,0.0,0.0,0.0,0.0,1.4399999999999988,1.4399999999999964
2026-01-01 08:15:00,1.4399999999999984,1.44,0.0,1.439999999999999,1.44,1.4399999999999964,0.0,1.44,1.44,1.4399999999999964,1.4399999999999966,1.4399999999999973,1.439999999999998,1.4399999999999968,0.0,0.0,0.0,0.0,1.4399999999999988,1.4399999999999964
2026-01-01 08:30:00,1.4399999999999984,1.44,0.0,1.439999999999999,1.4399999999999997,1.4399999999999964,0.0,1.439999999999999,1.44,1.4399999999999966,1.439999999999997,1.4399999999999975,1.439999999999998,1.439999999999997,0.0,0.0,0.0,0.0,1.4399999999999988,1.4399999999999966
2026-01-01 08:45:00,1.44,1.44,0.0,1.44,0.0,1.44,0.0,1.4399999999999997,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,1.44,1.44
2026-01-01 09:00:00,1.44,0.0,0.0,1.44,0.0,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,1.44,1.44
2026-01-01 09:15:00,1.44,0.0,0.0,1.44,0.0,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.4399999999999997,1.44,0.0,0.0,0.0,0.0,1.44,1.44
2026-01-01 09:30:00,1.44,0.0,0.0,1.44,0.0,1.44,0.0,0.0,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44
2026-01-01 09:45:00,1.44,0.0,0.0,1.44,0.0,1.44,0.0,0.0,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44
2026-01-01 10:00:00,1.44,0.0,0.0,0.0,0.0,1.44,0.0,0.0,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44
2026-01-01 10:15:00,1.44,0.0,0.0,0.0,0.0,1.44,0.0,0.0,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44
2026-01-01 10:30:00,1.44,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.4399999999999997,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44
2026-01-01 10:45:00,1.44,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,1.4399999999999997,1.44,0.0,0.0,0.0,0.0,0.0,1.44
2026-01-01 11:00:00,1.44,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 11:15:00,1.44,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,1.4399999999999997,1.44,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 11:30:00,1.44,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,1.44,1.44,1.44,1.44,0.0,0.0,0.0,1.44,1.44,0.0
2026-01-01 11:45:00,1.44,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,0.0,1.44,1.44,1.44,1.44,0.0,0.0,0.0,1.44,1.44,0.0
2026-01-01 12:00:00,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,1.44,0.0,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 12:15:00,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,1.44,0.0,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 12:30:00,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,0.0,0.0,1.44,1.4399999999999997,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 12:45:00,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,0.0,0.0,1.44,1.44,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 13:00:00,0.0,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 13:15:00,0.0,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,1.44,0.0,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 13:30:00,0.0,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 13:45:00,0.0,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 14:00:00,0.0,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.4399999999999997,0.0,0.0,0.0,0.0,0.0,1.4399999999999997,1.4399999999999997,1.44
2026-01-01 14:15:00,1.44,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,0.0,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 14:30:00,1.44,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.4399999999999997,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 14:45:00,1.44,0.0,0.0,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 15:00:00,1.44,0.0,0.0,1.4399999999999997,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 15:15:00,1.44,0.0,0.0,1.44,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 15:30:00,1.44,0.0,0.0,1.44,1.4399999999999997,1.44,0.0,0.0,1.44,1.44,1.44,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 15:45:00,1.44,0.0,0.0,1.44,1.44,1.44,0.0,0.0,1.44,1.44,1.44,1.44,0.0,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 16:00:00,1.44,0.0,0.0,1.44,1.44,1.4399999999999997,0.0,0.0,1.44,1.44,1.44,1.44,0.0,1.44,0.0,1.44,0.0,1.44,1.44,1.44
2026-01-01 16:15:00,1.4399999999999984,0.0,0.0,1.439999999999999,1.44,1.4399999999999964,0.0,0.0,1.44,1.4399999999999964,1.4399999999999968,1.4399999999999973,1.439999999999998,1.4399999999999968,1.44,0.0,0.0,1.439999999999998,1.4399999999999988,1.4399999999999964
2026-01-01 16:30:00,1.44,0.0,0.0,1.44,1.4399999999999997,0.0,0.0,0.0,1.44,1.44,1.44,1.4399999999999997,1.44,1.44,1.44,0.0,0.0,1.44,1.44,1.44
2026-01-01 16:45:00,1.4399999999999984,1.4399999999999997,0.0,1.439999999999999,1.44,0.0,0.0,0.0,1.44,1.4399999999999966,1.4399999999999968,1.4399999999999975,1.439999999999998,1.439999999999997,1.44,0.0,0.0,1.439999999999998,1.4399999999999988,1.4399999999999966
2026-01-01 17:00:00,1.4399999999999984,1.44,0.0,1.439999999999999,1.44,1.4399999999999964,0.0,0.0,1.44,1.4399999999999966,1.4399999999999968,1.4399999999999973,1.439999999999998,1.439999999999997,0.0,0.0,0.0,1.439999999999998,1.4399999999999988,1.4399999999999966
2026-01-01 17:15:00,1.4399999999999984,1.44,0.0,1.439999999999999,1.44,1.4399999999999964,0.0,0.0,1.44,1.4399999999999966,1.4399999999999968,1.4399999999999973,1.439999999999998,1.439999999999997,0.0,0.0,0.0,1.439999999999998,1.4399999999999988,1.4399999999999966
2026-01-01 17:30:00,1.4399999999999997,1.44,0.0,1.44,1.44,1.44,0.0,0.0,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,1.44,1.44,1.44
2026-01-01 17:45:00,1.44,1.44,0.0,1.44,1.44,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,0.0,1.44,0.0,1.44
2026-01-01 18:00:00,1.4399999999999962,1.44,0.0,1.439999999999997,1.44,1.4399999999999942,0.0,1.44,1.4399999999999988,1.4399999999999944,1.4399999999999946,1.4399999999999953,1.4399999999999955,1.4399999999999946,1.4399999999999997,0.0,0.0,1.4399999999999957,0.0,1.4399999999999944
2026-01-01 18:15:00,1.4399999999999962,1.44,0.0,1.439999999999997,1.44,1.439999999999994,0.0,1.44,1.4399999999999988,1.4399999999999944,1.4399999999999944,1.439999999999995,1.4399999999999955,1.4399999999999946,1.44,0.0,0.0,1.4399999999999955,0.0,1.4399999999999942
2026-01-01 18:30:00,1.44,0.0,1.4399999999999997,1.44,1.44,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.4399999999999997,1.44,0.0,0.0,1.44,0.0,1.4399999999999997
2026-01-01 18:45:00,1.439999999999996,0.0,1.4399999999999995,1.4399999999999968,1.44,1.4399999999999942,0.0,1.44,1.4399999999999988,1.4399999999999944,1.4399999999999946,1.4399999999999948,1.4399999999999955,1.4399999999999946,1.44,0.0,0.0,1.4399999999999957,0.0,1.4399999999999944
2026-01-01 19:00:00,1.44,0.0,1.44,1.44,1.44,1.44,0.0,1.44,1.44,1.44,1.44,1.44,1.44,1.44,1.44,0.0,0.0,1.44,0.0,1.44
2026-01-01 19:15:00,1.44,0.0,1.4399999999999997,1.44,1.44,1.4399999999999982,1.44,1.44,1.44,1.4399999999999986,1.4399999999999988,1.4399999999999993,1.44,1.4399999999999988,1.44,0.0,0.0,1.4399999999999997,0.0,1.4399999999999982
2026-01-01 19:30:00,1.4399999999999975,0.0,1.44,1.4399999999999986,1.44,1.439999999999996,1.44,1.44,1.44,1.439999999999996,1.4399999999999962,1.4399999999999966,1.4399999999999975,1.4399999999999962,1.44,0.0,1.44,1.439999999999997,0.0,1.4399999999999964
2026-01-01 19:45:00,1.439999999999998,0.0,1.44,1.4399999999999986,1.44,1.439999999999996,1.4399999999999995,1.44,1.4399999999999997,1.4399999999999962,1.4399999999999962,1.4399999999999966,1.4399999999999973,1.4399999999999962,1.44,0.0,1.4399999999999922,1.439999999999997,0.0,1.4399999999999962
2026-01-01 20:00:00,1.439999999999995,0.0,1.4399999999999997,1.4399999999999962,1.44,1.4399999999999933,1.44,1.44,1.439999999999998,1.439999999999994,1.4399999999999937,1.4399999999999946,1.439999999999995,1.439999999999994,1.44,0.0,1.439999999999999,1.4399999999999948,1.439999999999996,1.439999999999994
2026-01-01 20:15:00,1.4399999999999953,0.0,1.4399999999999997,1.4399999999999962,1.44,1.4399999999999933,1.44,1.44,1.4399999999999982,1.439999999999994,1.439999999999994,1.4399999999999944,1.4399999999999953,1.439999999999994,1.44,0.0,1.44,1.4399999999999948,1.4399999999999957,1.439999999999994
2026-01-01 20:30:00,1.4399999999999955,0.0,1.44,1.4399999999999962,1.44,1.4399999999999933,1.44,1.44,1.439999999999998,1.439999999999994,1.4399999999999942,1.4399999999999944,1.439999999999995,1.439999999999994,1.44,0.0,1.4399999999999988,1.4399999999999948,1.439999999999996,1.4399999999999937
2026-01-01 20:45:00,1.4399999999999955,0.0,1.4399999999999997,1.4399999999999962,1.44,1.4399999999999933,1.44,1.44,1.4399999999999982,1.439999999999994,1.439999999999994,1.4399999999999944,1.439999999999995,1.439999999999994,1.44,0.0,1.44,1.439999999999995,1.439999999999996,1.439999999999994
2026-01-01 21:00:00,1.4399999999999955,0.0,1.44,1.439999999999996,1.4399999999999997,1.4399999999999933,1.44,1.44,1.4399999999999982,1.439999999999994,1.439999999999994,1.4399999999999944,1.439999999999995,1.439999999999994,1.44,0.0,1.44,1.4399999999999948,1.439999999999996,1.439999999999994
2026-01-01 21:15:00,1.4399999999999933,1.44,1.4399999999999997,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.4399999999999957,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 21:30:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 21:45:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.439999999999992,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 22:00:00,1.4399999999999926,1.44,1.44,1.439999999999993,1.44,1.4399999999999904,1.44,1.44,1.439999999999995,1.4399999999999908,1.4399999999999908,1.4399999999999913,1.439999999999992,1.439999999999991,1.44,0.0,1.44,1.4399999999999917,1.439999999999993,1.4399999999999908
2026-01-01 22:15:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999922,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.439999999999994,1.4399999999999917
2026-01-01 22:30:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 22:45:00,1.4399999999999933,1.44,1.4399999999999997,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 23:00:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 23:15:00,1.4399999999999933,1.44,1.4399999999999997,1.439999999999994,1.44,1.4399999999999915,1.44,1.44,1.4399999999999957,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 23:30:00,1.4399999999999933,1.44,1.44,1.4399999999999942,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999922,1.439999999999993,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
2026-01-01 23:45:00,1.4399999999999933,1.44,1.44,1.439999999999994,1.44,1.4399999999999913,1.44,1.44,1.439999999999996,1.4399999999999917,1.4399999999999917,1.4399999999999924,1.4399999999999928,1.439999999999992,1.44,0.0,1.44,1.4399999999999928,1.4399999999999937,1.4399999999999917
